Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Gini index,SI.POV.GINI,France,FRA,32.6,32.5,31.8,31.4,30.6,29.8,29.7,32.4,33,33.1,32.5,32.3,32.7,31.9,31.6,32.4,31.2,30.7,31.5,31.2,31.8,..,..
Gini index,SI.POV.GINI,Italy,ITA,35.2,..,34.7,34.9,34.3,33.8,33.7,32.9,33.8,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,34.8,33.7,34.3,..,..
Gini index,SI.POV.GINI,Spain,ESP,34.1,..,..,31.8,33.3,32.4,33.5,34.1,34.2,35.4,36.2,36.1,36.2,35.8,34.7,34.7,34.3,34.9,33.9,33.6,33.4,..,..
Gini index,SI.POV.GINI,"Egypt, Arab Rep.",EGY,..,..,..,..,31.8,..,..,..,31.1,28.3,..,..,31.8,..,31.5,..,31.9,..,28.5,..,..,..,..
Gini index,SI.POV.GINI,Israel,ISR,..,38.9,39.6,40.7,41.5,42.3,41.6,41.1,41.6,41.3,39.9,39.8,39.7,39,38.2,38.6,38.3,37.8,37.9,38.3,..,..,..
Gini index,SI.POV.GINI,China,CHN,..,..,42,..,..,40.9,..,..,43,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36,..,..,..
Gini index,SI.POV.GINI,"Iran, Islamic Rep.",IRN,..,..,..,..,..,43.6,44.8,..,..,34.4,34,34.8,35.3,35.9,36.7,37.4,36.5,35.8,35.5,34.8,35.9,..,..
Gini index,SI.POV.GINI,Kenya,KEN,..,..,..,..,..,46.4,..,..,..,..,..,..,40.8,..,..,..,..,36.2,38.7,38.5,..,..,..
Gini index,SI.POV.GINI,Peru,PER,49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.5,43.7,40.1,40.3,40.7,40.1,..
Gini index,SI.POV.GINI,Brazil,BRA,..,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.4,52.7,52.1,51.9,53.4,53.3,53.9,53.5,48.8,52.9,51.9,51.5,50.3,..
Gini index,SI.POV.GINI,Colombia,COL,58.4,57.3,56,53.6,55,53.9,..,..,55,53.6,53.5,53.6,52,51.7,50.9,51.6,52.5,54.4,55.1,54.8,54.6,54.4,..
Gini index,SI.POV.GINI,South Africa,ZAF,57.8,..,..,..,..,65,..,..,62.5,..,..,59.6,..,..,..,..,..,..,..,54.1,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/13/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
